Taxa,AHT_ECN,AMT_control,AMT_polluted,AMTmelter,CWM_control,CWM_polluted,DGC_control,DGC_polluted,DRA_ECN,PDW_ECN,PTB_control,PTB_polluted,SCT_control,SCT_polluted,SHP_control,SHP_polluted,SND_ECN,max,min,avg
Gammaproteobacteria,0.2561,0.4863,0.1241,0.3297,0.748,0.8801,0.2515,0.5141,0.2521,0.0946,0.0848,0.077,0.1941,0.3526,0.0838,0.1771,0.4864,0.8801,0.077,0.3172
Betaproteobacteria,0.0805,0.2188,0.3152,0.0531,0.0183,0.0336,0.3098,0.123,0.2863,0.1049,0.2361,0.2942,0.1393,0.222,0.3404,0.4023,0.0274,0.4023,0.0183,0.188541176
Actinobacteria,0.3265,0.1454,0.1909,0.1173,0.1156,0.0305,0.1757,0.1523,0.1577,0.2583,0.2377,0.2978,0.1273,0.105,0.2904,0.1953,0.0816,0.3265,0.0305,0.176782353
Bacteroidetes,0.0618,0.0762,0.1333,0.2509,0.0341,0.0111,0.1149,0.0863,0.1728,0.2224,0.2546,0.1096,0.3676,0.1298,0.1318,0.0305,0.1686,0.3676,0.0111,0.138605882
Alphaproteobacteria,0.1321,0.0152,0.0359,0.0266,0.0314,0.0221,0.0385,0.0469,0.0324,0.0844,0.0431,0.0891,0.0487,0.0428,0.0548,0.0325,0.2072,0.2072,0.0152,0.057864706
Spirochaetes,0.0504,0.004,0.0667,0.1613,0.0049,0.0001,0.0023,0.0211,0.0077,0.0782,0.0113,0.003,0.0093,0.0005,0.0052,0.0003,0.0012,0.1613,0.0001,0.025147059
Acidobacteria,0.0271,0.0046,0.0124,0.0133,0.0098,0.0118,0.0183,0.0245,0.02,0.0261,0.0379,0.0472,0.0337,0.0575,0.0158,0.0222,0.0115,0.0575,0.0046,0.023158824
Firmicutes,0.0081,0.0104,0.0531,0.0022,0.0166,0.0012,0.0424,0.0037,0.0212,0.0132,0.009,0.0044,0.0049,0.0098,0.0216,0.0958,0.0022,0.0958,0.0012,0.018811765
Deltaproteobacteria,0.0203,0.0037,0.0141,0.0117,0.0021,0.004,0.0096,0.0039,0.0127,0.0519,0.0249,0.0279,0.0262,0.0327,0.0085,0.0104,0.0055,0.0519,0.0021,0.015888235
TM7,0.0121,0.0238,0.0383,0.0126,0.0038,0.0011,0.0089,0.015,0.0082,0.0159,0.0138,0.006,0.0197,0.0058,0.0156,0.0079,0.0014,0.0383,0.0011,0.012347059
Chloroflexi,0.0103,0.0054,0.0045,0.0126,0.0012,0.0012,0.0118,0.0009,0.0121,0.0275,0.0213,0.0316,0.0074,0.0152,0.016,0.0184,0.0027,0.0316,0.0009,0.011770588
Other,0.0145,0.0061,0.0115,0.0087,0.0141,0.0034,0.0164,0.0085,0.0166,0.0225,0.0252,0.0119,0.0218,0.0264,0.0162,0.0071,0.0043,0.0264,0.0034,0.013835294
